CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,BLOCKXCOORD,BLOCKYCOORD,WARD,ANC,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,START_DATE,END_DATE,lat,lon
13008781,1/20/2013 2:47:00 PM,DAY,ROBBERY,GUN,9/23/2014 8:34:07 AM,3400 - 3513 BLOCK OF MINNESOTA AVENUE SE,403784,135262,7,7B,SIXTH,603,32,,007708 2,007708,Precinct 132,1/20/2013 2:40:00 PM,1/20/2013 2:40:00 PM,38.8851887104789,-76.956386372168
13008845,1/20/2013 7:00:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:09 AM,4TH STREET SE AND NEWCOMB STREET SE,399750.88002972,131132.42008712,8,8C,SEVENTH,707,39,,010400 2,010400,Precinct 123,1/20/2013 4:28:00 PM,1/20/2013 4:29:00 PM,38.8479958662355,-77.002869810928
13008847,1/20/2013 4:42:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:07 AM,262 - 339 BLOCK OF 55TH STREET NE,406767,136193,7,7C,SIXTH,608,31,,007808 1,007808,Precinct 96,1/20/2013 4:42:00 PM,1/20/2013 4:42:00 PM,38.8935576063973,-76.9219957542971
13008888,1/20/2013 6:42:00 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:09 AM,4555 - 4612 BLOCK OF BENNING ROAD SE,405519,135471,7,7F,SIXTH,604,33,,009906 1,009906,Precinct 103,1/20/2013 6:42:00 PM,1/20/2013 6:42:00 PM,38.8870622825905,-76.9363874357459
13009033,1/21/2013 1:30:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:07 AM,47TH STREET NE AND CENTRAL AVENUE NE,405649.68998720,135828.95999548,7,7C,SIXTH,608,33,,007803 3,007803,Precinct 98,1/21/2013 1:30:00 AM,1/21/2013 1:30:00 AM,38.8902860901113,-76.9348781467019
13009075,1/21/2013 4:51:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:09 AM,3931 - 3974 BLOCK OF C STREET SE,404553,135353,7,7F,SIXTH,603,32,,007703 2,007703,Precinct 103,1/21/2013 4:51:00 AM,1/21/2013 4:51:00 AM,38.8860048271268,-76.9475224306929
13009203,1/21/2013 2:07:00 PM,DAY,ROBBERY,GUN,9/23/2014 8:34:07 AM,4200 - 4399 BLOCK OF 7TH STREET SE,400251,128889,8,8D,SEVENTH,706,39,,009811 2,009811,Precinct 125,1/21/2013 2:07:00 PM,1/21/2013 2:07:00 PM,38.8277861205381,-76.9971093498574
13009313,1/21/2013 7:13:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:08 AM,4700 - 4799 BLOCK OF MINNESOTA AVENUE NE,405687.6061152310,137769.4528612810,7,7C,SIXTH,602,31,,007806 2,007806,Precinct 93,1/21/2013 7:13:00 PM,1/21/2013 7:13:00 PM,38.907766499453,-76.9344250348447
13009325,1/21/2013 8:20:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:07 AM,4900  - 4999 BLOCK OF 7TH STREET NW,398090,142501,4,4D,FOURTH,407,18,,002201 1,002201,Precinct 55,1/21/2013 8:13:00 PM,1/21/2013 8:15:00 PM,38.9504060691764,-77.0220344184415
13009327,1/21/2013 8:41:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:06 AM,3200 - 3299 BLOCK OF PENNSYLVANIA AVENUE SE,403516,133455,7,7B,SIXTH,607,34,,007604 2,007604,Precinct 109,1/21/2013 8:41:00 PM,1/21/2013 8:41:00 PM,38.868911655353,-76.9594845296399
13009334,1/21/2013 9:04:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:07 AM,4100 - 4276 BLOCK OF EAST CAPITOL STREET,405084,135772,7,7F,SIXTH,603,32,,007703 1,007703,Precinct 103,1/21/2013 9:04:00 PM,1/21/2013 9:04:00 PM,38.8897764265165,-76.941399062168
13009336,1/21/2013 8:43:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:09 AM,4100 - 4309 BLOCK OF C STREET SE,404702,135409,7,7F,SIXTH,603,32,,007703 2,007703,Precinct 103,1/21/2013 8:43:00 PM,1/21/2013 8:43:00 PM,38.8865085121169,-76.9458046840061
13009355,1/21/2013 9:09:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:08 AM,600 - 719 BLOCK OF GALLATIN STREET NE,400260.87,142662.84,5,5A,FOURTH,405,20,,009508 1,009508,Precinct 66,1/21/2013 9:00:00 PM,1/21/2013 9:05:00 PM,38.9518660057343,-76.9969904521404
13009564,1/22/2013 12:00:00 PM,DAY,ROBBERY,GUN,9/23/2014 8:34:06 AM,800 - 827 BLOCK OF 18TH STREET NE,401953,136964,5,5D,FIFTH,507,23,,008904 2,008904,Precinct 79,1/22/2013 11:51:00 AM,1/22/2013 11:52:00 AM,38.9005269292937,-76.9774852728458
13009645,1/22/2013 2:32:00 PM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:08 AM,2600 - 2799 BLOCK OF EVARTS STREET NE,402707,139626,5,5C,FIFTH,503,22,,011100 1,011100,Precinct 71,1/22/2013 2:32:00 PM,1/22/2013 2:32:00 PM,38.9245051250684,-76.9687824573923
13009728,1/22/2013 6:00:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:07 AM,9TH STREET NW AND CRITTENDEN STREET NW,397804.57001192,142148.39001734,4,4D,FOURTH,407,18,,002201 2,002201,Precinct 55,1/21/2013 7:00:00 PM,1/21/2013 7:10:00 PM,38.9472289941063,-77.025326108488
13009801,1/22/2013 6:58:00 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:06 AM,2400 - 2413 BLOCK OF MINNESOTA AVENUE SE,402435,133902,7,7B,SIXTH,607,34,,007601 1,007601,Precinct 111,1/22/2013 6:58:00 PM,1/22/2013 6:58:00 PM,38.8729420693908,-76.9719394935933
13009805,1/22/2013 9:07:00 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:08 AM,800 - 899 BLOCK OF 20TH STREET NE,402152,137048,5,5D,FIFTH,507,23,,008904 1,008904,Precinct 79,1/22/2013 8:00:00 PM,1/22/2013 8:10:00 PM,38.9012831666002,-76.9751908824375
